Numero Coluna,Token, Tipo
1103,"application/xml,String
1104,text/xml",Parametro funcao
1105,"application/json,String
1106,"responseXML",String
1107,"responseText",String
1108,"responseJSON",String
1109,"* text":,String
1110,"text html":,String
1111,"text json":,String
1112,"text xml":,String
1113,settings,Parametro funcao
1114,jQuery.ajaxSettings,Parametro funcao
1115,prefilters,Parametro funcao
1116,transports,Parametro funcao
1117,url,Parametro funcao
1118,cacheURL,Parametro funcao
1119,responseHeadersString,Parametro funcao
1120,responseHeaders,Parametro funcao
1121,timeoutTimer,Parametro funcao
1122,urlAnchor,Parametro funcao
1123,completed,Parametro funcao
1124,fireGlobals,Parametro funcao
1125,uncached,Parametro funcao
1126,callbackContext,Parametro funcao
1127,"once memory",String
1128,"canceled",String
1129,!responseHeaders,Parametro funcao
1130,statusText,Parametro funcao
1131,finalText,Variavel
1132,transport,Parametro funcao
1133,rprotocol,Parametro funcao
1134,s.data,Parametro funcao
1135,"ajaxStart",String
1136,rhash,Parametro funcao
1137,!s.hasContent,Parametro funcao
1138,"?",String
1139,rantiCache,Parametro funcao
1140,"_=",String
1141,nonce.guid++,Parametro funcao
1142,"application/x-www-form-urlencoded",String
1143,s.ifModified,Parametro funcao
1144,"If-Modified-Since",String
1145,"If-None-Match",String
1146,"Accept",String
1147,"abort";,String
1148,!transport,Parametro funcao
1149,"ajaxSend",String
1150,"timeout",String
1151,requestHeaders,Parametro funcao
1152,status,Parametro funcao
1153,nativeStatusText,Parametro funcao
1154,headers,Parametro funcao
1155,success,Parametro funcao
1156,modified,Parametro funcao
1157,300,Numero
1158,s.dataTypes,Parametro funcao
1159,"json",String
1160,"text script",String
1161,"Last-Modified",String
1162,"etag",String
1163,204,Numero
1164,"HEAD",String
1165,"nocontent";,String
1166,304,Numero
1167,"notmodified";,String
1168,"error";,String
1169,"ajaxSuccess",String
1170,"ajaxError",String
1171,"ajaxComplete",String
1172,--jQuery.active,Parametro funcao
1173,"ajaxStop",String
1174,"post",String
1175,method,Parametro funcao
1176,"content-type",String
1177,"text script":,String
1178,elem.firstElementChild,Parametro funcao
1179,contents.length,Parametro funcao
1180,htmlIsFunction,Variavel
1181,"body",String
1182,xhrSuccessStatus,Variavel
1183,"withCredentials",String
1184,complete,Parametro funcao
1185,options.type,Parametro funcao
1186,options.url,Parametro funcao
1187,options.async,Parametro funcao
1188,options.username,Parametro funcao
1189,options.xhrFields,Parametro funcao
1190,"X-Requested-With",String
1191,"XMLHttpRequest";,String
1192,"abort",String
1193,"error",String
1194,xhr.status,Parametro funcao
1195,xhr.statusText,Parametro funcao
1196,s.crossDomain,Parametro funcao
1197,"text/javascript,String
1198,application/javascript,Parametro funcao
1199,"application/ecmascript,String
1200,"text script":,String
1201,"GET";,String
1202,"<script>",String
1203,"load error",String
1204,evt,Parametro funcao
1205,404,Numero
1206,oldCallbacks,Variavel
1207,"callback",String
1208,"_",String
1209,"json jsonp",String
1210,originalSettings,Parametro funcao
1211,overwritten,Parametro funcao
1212,responseContainer,Parametro funcao
1213,s.url,Parametro funcao
1214,"url",String
1215,"data",String
1216,"jsonp",String
1217,s.jsonpCallback,Parametro funcao
1218,jsonProp,Parametro funcao
1219,rjsonp,Parametro funcao
1220,"script json",String
1221,!responseContainer,Parametro funcao
1222,"json";,String
1223,"script";,String
1224,body,Variavel
1225,"<form></form><form></form>";,String
1226,keepScripts,Parametro funcao
1227,parsed,Parametro funcao
1228,support.createHTMLDocument,Parametro funcao
1229,"base",String
1230,params,Parametro funcao
1231,off,Parametro funcao
1232,"POST";,String
1233,"html",String
1234,responseText,Parametro funcao
1235,"<div>",String
1236,jQuery.timers,Parametro funcao
1237,curLeft,Parametro funcao
1238,curCSSTop,Parametro funcao
1239,curTop,Parametro funcao
1240,curOffset,Parametro funcao
1241,curCSSLeft,Parametro funcao
1242,calculatePosition,Parametro funcao
1243,"position",String
1244,"static",String
1245,"relative";,String
1246,"top",String
1247,"left",String
1248,"fixed",String
1249,"using",String
1250,win,Parametro funcao
1251,!elem.getClientRects().length,Parametro funcao
1252,offset,Parametro funcao
1253,offsetParent,Parametro funcao
1254,"borderTopWidth",String
1255,"borderLeftWidth",String
1256,"marginTop",String
1257,"pageXOffset",String
1258,"pageYOffset",String
1259,top,Variavel
1260,support.pixelPosition,Parametro funcao
1261,"inner",String
1262,"": "outer",String
1263,"outer",String
1264,defaultExtra,Parametro funcao
1265,funcName,Parametro funcao
1266,margin,Parametro funcao
1267,"client",String
1268,"scroll",String
1269,fnOver,Parametro funcao
1270,fnOut,Parametro funcao
1271,"blur,String
1272,"mousedown,String
1273,"change,String
1274,hold,Parametro funcao
1275,"jquery",String
1276,_jQuery,Variavel
